,0
1551,12.0
1552,23.0
1553,24.0
1554,15.0
1555,13.0
1556,11.0
1557,34.0
1558,12.0
1559,12.0
1560,15.0
1561,28.0
1562,13.0
1563,14.0
1564,69.0
1565,22.0
1566,67.0
1567,18.0
1568,22.0
1569,25.0
1570,15.0
1571,20.0
1572,29.0
1573,13.0
1574,23.0
1575,19.0
1576,23.0
1577,15.0
1578,21.0
1579,24.0
1580,19.0
1581,31.0
1582,15.0
1583,15.0
1584,11.0
1585,36.0
1586,27.0
1587,11.0
1588,22.0
1589,13.0
1590,20.0
1591,21.0
1592,9.0
1593,21.0
1594,14.0
1595,17.0
1596,15.0
1597,9.0
1598,25.0
1599,11.0
1600,18.0
1601,12.0
1602,17.0
1603,20.0
1604,23.0
1605,37.0
1606,14.0
1607,15.0
1608,19.0
1609,19.0
1610,22.0
1611,15.0
1612,31.0
1613,11.0
1614,20.0
1615,19.0
1616,17.0
1617,23.0
1618,61.0
1619,21.0
1620,38.0
1621,12.0
1622,18.0
1623,60.0
1624,40.0
1625,46.0
1626,41.0
1627,20.0
1628,18.0
1629,33.0
1630,17.0
1631,12.0
1632,15.0
1633,23.0
1634,15.0
1635,16.0
1636,13.0
1637,35.0
1638,21.0
1639,22.0
1640,23.0
1641,46.0
1642,13.0
1643,22.0
1644,26.0
1645,16.0
1646,25.0
1647,27.0
1648,22.0
1649,20.0
1650,17.0
1651,13.0
1652,73.0
1653,37.0
1654,10.0
1655,12.0
1656,10.0
1657,11.0
1658,21.0
1659,15.0
1660,28.0
1661,51.0
1662,14.0
1663,23.0
1664,10.0
1665,31.0
1666,14.0
1667,31.0
1668,36.0
1669,16.0
1670,15.0
1671,10.0
1672,47.0
1673,10.0
1674,12.0
1675,14.0
1676,21.0
1677,24.0
1678,17.0
1679,16.0
1680,10.0
1681,17.0
1682,19.0
1683,13.0
1684,15.0
1685,13.0
1686,30.0
1687,16.0
1688,11.0
1689,33.0
1690,36.0
1691,13.0
1692,35.0
1693,13.0
1694,14.0
1695,15.0
1696,13.0
1697,41.0
1698,41.0
1699,63.0
1700,11.0
1701,11.0
1702,34.0
1703,21.0
1704,20.0
1705,14.0
1706,18.0
1707,9.0
1708,35.0
1709,37.0
1710,19.0
1711,68.0
1712,22.0
1713,28.0
1714,19.0
1715,27.0
1716,18.0
1717,14.0
1718,15.0
1719,19.0
1720,23.0
1721,15.0
1722,31.0
1723,21.0
1724,18.0
1725,15.0
1726,17.0
1727,22.0
1728,14.0
1729,20.0
1730,15.0
1731,16.0
1732,19.0
1733,14.0
1734,30.0
1735,13.0
1736,12.0
1737,16.0
1738,19.0
1739,12.0
1740,15.0
1741,14.0
1742,16.0
1743,36.0
1744,24.0
1745,11.0
1746,24.0
1747,48.0
1748,11.0
1749,29.0
1750,19.0
1751,18.0
1752,46.0
1753,21.0
1754,31.0
1755,28.0
1756,15.0
1757,18.0
1758,25.0
1759,36.0
1760,32.0
1761,30.0
1762,51.0
1763,11.0
1764,45.0
1765,17.0
1766,20.0
1767,40.0
1768,18.0
1769,21.0
1770,25.0
1771,32.0
